canonical_institution,country,paper_count,raw_variants_count,raw_variants
FernUniversität in Hagen,Germany,9,6,"Catalpa, University of Hagen, Hagen, Germany | Center of Advanced Technology for Assisted Learning and Predictive Analytics (CATALPA), FernUniversität in Hagen, Germany | Center of Advanced Technology for Assisted Learning and Predictive Analytics (CATALPA), FernUniversität in Hagen, Hagen, Germany | Center of Advanced Technology for Assisted Learning and Predictive Analytics (CATALPA), FernUniversität in Hagen, Universitätsstrasse 27, Hagen, 58097, Germany | FernUniversität in Hagen, Hagen, Germany | FernUniversität, Hagen, 58097, Germany"
University of Oslo,Norway,9,5,"Department of Education, University of Oslo, Norway | Department of Education, University of Oslo, Oslo, Norway | Department of Education, the University of Oslo, Post Box 1092, Blindern, Oslo, 0317, Norway | University of Oslo, Oslo, 0313, Norway | University of Oslo, Oslo, Norway"
LAB University of Applied Sciences,Finland,7,2,"LAB University of Applied Sciences, Lahti, Finland | LAB University of Applied Sciences, Mukkulankatu 19, Lahti, 15210, Finland"
Belgrade Metropolitan University,Serbia,6,3,"Belgrade Metropolitan University, Faculty of Information Technology, Tadeuša Košćuška 63, Belgrade, 11000, Serbia | Faculty of Information Technology, Belgrade Metropolitan University, Belgrade, Serbia | Faculty of Information Technology, Belgrade Metropolitan University, Tadeuša Košćuška 63, Belgrade, 11000, Serbia"
Maynooth University,Ireland,6,2,"Department of Mathematics and Statistics, Hamilton Institute, Maynooth University, Maynooth, Ireland | Maynooth University, Hamilton Institute and Department of Mathematics and Statistics, Co. Kildare, Maynooth, Ireland"
Tilburg University,Netherlands,6,4,"Department of Methodology and Statistics, Tilburg University, Netherlands | Tilburg University, School of Social and Behavioral Sciences, Department of Methodology and Statistics, Netherlands | Tilburg University, School of Social and Behavioral Sciences, Department of Methodology, Netherlands | Tilburg University, Tilburg, Netherlands"
University of South Australia,Australia,6,4,"Centre for Change and Complexity in Learning (C3L), University of South Australia, Adelaide, 5072, SA, Australia | Centre for Change and Complexity in Learning (C3L), University of South Australia, Australia | Education Futures, University of South Australia, City West Campus, 160 Currie Street, Adelaide, 5000, South Australia, Australia | University of South Australia, City West Campus, Adelaide, 5000, Australia"
Beijing Normal University,China,5,4,"Beijing Normal University, Beijing, China | Faculty of Education, Beijing Normal University, Beijing, China | Faculty of Psychology, Beijing Normal University, Beijing, China | Smart Learning Institute of Beijing Normal University, Beijing, China"
Universidad de Salamanca,Spain,5,4,"Departamento de Informática y Automática, Escuela Politécnica Superior de Zamora, Grupo GRIAL, Universidad de Salamanca, Zamora, Spain | Escuela Politécnica Superior de Zamora, Universidad de Salamanca, Zamora, Spain | Universidad de Salamanca, Escuela Politécnica Superior de Zamora, Av. de Requejo, 34, Zamora, 49029, Spain | Universidad de Salamanca, Salamanca, Spain"
University of Belgrade,Serbia,5,4,"Department of Software Engineering, University of Belgrade, Belgrade, Serbia | Faculty of Organizational Sciences, University of Belgrade, Jove Ilića 154, Belgrade, 11000, Serbia | University of Belgrade, Belgrade, Serbia | University of Belgrade, Serbia"
University of Melbourne,Australia,5,3,"School of Computing and Information Systems, University of Melbourne, Australia | School of Computing and Information Systems, University of Melbourne, Melbourne, Australia | University of Melbourne, Parkville, VIC, Australia"
Kanda University of International Studies,Japan,4,4,"Kanda University of International Studies, 1 Chome-4-1 Wakaba, Mihama Ward, Chiba, 261-0014, Japan | Kanda University of International Studies, 1-4-1, Wakaba, Mihama-ku, Chiba-shi, Chiba-ken, Japan | Kanda University of International Studies, Chiba, Japan | Kanda University of International Studies, Japan"
Monash University,Australia,4,4,"Centre for Learning Analytics at Monash, Faculty of Information Technology, Monash University, 29 Ancora Imparo Way, Clayton, 3800, VIC, Australia | Faculty of Education, School of Informatics, Monash University, Clayton, Australia | Faculty of Information Technology, Monash University, Clayton, Australia | Monash University, Australia"
University of Helsinki,Finland,4,4,"Department of Physics, University of Helsinki, Helsinki, Finland | University of Helsinki, Department of Computer Science, Helsinki, Finland | University of Helsinki, Faculty of Educational Sciences, Department of Education, Helsinki, 00014, Finland | University of Helsinki, Helsinki, Finland"
University of Kassel,Germany,4,4,"Information Systems and Systems Engineering, Research Center for IS Design (ITeG), University of Kassel, Kassel, Germany | Information Systems, Research Center for IS Design (ITeG), University of Kassel, Kassel, Germany | University of Kassel, Germany | University of Kassel, Information Systems, Research Center for IS Design (ITeG), Pfannkuchstraße 1, Kassel, 34121, Germany"
Aalto University,Finland,3,3,"Aalto University | Aalto University, Department of Computer Science, Aalto, 00076, Finland | Aalto University, Espoo, Finland"
Sofia University,Bulgaria,3,5,"Department of Information Technologies, Faculty of Mathematics and Informatics, Sofia University St. Kliment Ohridski, Sofia, Bulgaria | Faculty of Mathematics and Informatics, Sofia University St. Kliment Ohridski, Sofia, Bulgaria | Faculty of Mathematics and Informatics, Sofia University, Sofia, Bulgaria | Scientific Research Centre, Sofia University St. Kliment Ohridski, Sofia, Bulgaria | Sofia University, Sofia, Bulgaria"
University of Antwerp,Belgium,3,3,"University of Antwerp, Antwerpen, Belgium | University of Antwerp, Belgium | University of Antwerp, Prinsstraat 13, Antwerpen, 2000, Belgium"
University of St. Gallen,Switzerland,3,3,"Institute of Information Management (IWI-HSG), University of St. Gallen, St. Gallen, Switzerland | University of St. Gallen, Institute of Information Management, Müller Friedbergstrasse 8, St. Gallen, 9000, Switzerland | University of St.Gallen, Switzerland"
An-Najah National University,Palestine,2,2,"An-Najah National University, Nablus, Palestine | Department of Education, An-Najah National University, Nablus, Palestine"
Eindhoven University of Technology,Netherlands,2,3,"Eindhoven University of Technology, Eindhoven, Netherlands | Human Performance Management Group, Department of Industrial Engineering and Innovation Sciences, Eindhoven University of Technology, Eindhoven, Netherlands | Human-Technology Interaction Group, Department of Industrial Engineering and Innovation Sciences, Eindhoven University of Technology, Eindhoven, Netherlands"
UC Davis,United States,2,2,"UC Davis, Davis, CA, United States | University of California, Davis, Psychology Department, United States"
Union University,Serbia,2,2,"School of Computing, Union University, Belgrade, Serbia | Union University, School of Computing, Belgrade, Serbia"
University of Edinburgh,United Kingdom,2,2,"School of Informatics, University of Edinburgh, 10 Crichton Street, EH8 9AB, United Kingdom | University of Edinburgh, Edinburgh, United Kingdom"
University of Florida,United States,2,1,"University of Florida, Gainesville, FL, United States"
University of Limerick,Ireland,2,2,"University of Limerick | University of Limerick, Physical Activity for Health Research Cluster, Department of Physical Education and Sport Sciences, Limerick, V94 T9PX, Ireland"
University of Minnesota,United States,2,1,"University of Minnesota, United States"
University of Osnabrück,Germany,2,1,"Information Systems, University of Osnabrück, Osnabrück, Germany"
Uppsala University,Sweden,2,2,"Uppsala University, Department of Information Technology, Uppsala, 75105, Sweden | Uppsala University, Uppsala, Sweden"
American University in Cairo,Egypt,1,1,"Department of Educational Studies, American University in Cairo, New Cairo, Egypt"
Ankara University,Turkey,1,1,"Ankara University, Ankara, Turkey"
