canonical_name,paper_count,raw_variants
Stefan Stenbom,1,
Steven Bradley,1,
Sue Sentance,1,
Susana Olmos-Migueláñez,1,
Teresa Pessoa,1,
Thashmee Karunaratne,1,
Tiina Kuningas,1,
Tobias Hecking,1,
Tom Crick,1,
Tuomo Parkki,1,
Ulf Dalvad Berthelsen,1,
Valentina Dagiene,1,
Valeriano Piñeiro-Naval,1,
Wannisa Matcha,1,
Wei Liu,1,
Xia Sun,1,
Xiao Zhang,1,
Yasemin Gülbahar,1,
Ying Huang,1,
Yuchen Liu,1,
Zacharoula Papamitsiou,1,
Zafar Rasheed,1,
Zhizezhang Gao,1,
Ziwen Teuber,1,
Ángel Fidalgo-Blanco,1,
